name,url,date,price
"Macbook Apple Air A2337 M1 13,3"" 8GB SSD 256 GB Mac OS Leitor Biométrico",https://www.zoom.com.br/notebook/macbook-apple-air-m1-13-3-8gb-ssd-256-gb-tela-de-retina-mac-os-wi-fi?_lc=88&searchterm=A2337,2022-11-07,6399.0
Smartphone Apple iPhone 12 128GB Câmera Dupla,https://www.zoom.com.br/celular/smartphone-apple-iphone-12-128gb-ios?_lc=88&searchterm=iPhone%2012%20128GB,2022-11-07,4399.0
"Tablet Apple iPad 9ª Geração 64GB 10,2"" iPadOS 8 MP Filma em Full HD",https://www.zoom.com.br/tablet-ipad/tablet-apple-ipad-9-geracao-64gb-wi-fi-10-2-ipados-8-mp?_lc=88&searchterm=iPad%209a%20Gera%C3%A7%C3%A3o%2064GB,2022-11-07,2294.0
